sep=,
Timestamp,KM_24SF0101\-141\-1.THRLY\[1\] + KS_23SF0201-141\-1.THRLY\[1\] + KN_22SF0301\-141\-1.HRLY\[22\]
2020-02-23 16:51:29,NaN
2020-02-23 16:51:30,NaN
2020-02-25 17:50:05,NaN
2020-02-27 18:48:40,NaN
2020-02-29 19:47:15,NaN
2020-03-02 20:45:50,NaN
2020-03-04 21:44:25,NaN
2020-03-06 22:43:00,NaN
2020-03-08 23:41:35,NaN
2020-03-11 00:40:10,NaN
2020-03-13 01:38:45,NaN
2020-03-15 02:37:20,NaN
2020-03-17 03:35:55,NaN
2020-03-19 04:34:30,NaN
2020-03-21 05:33:05,NaN
2020-03-23 06:31:40,NaN
2020-03-25 07:30:15,NaN
2020-03-27 08:28:50,NaN
2020-03-29 09:27:25,NaN
2020-03-31 10:26:00,NaN
2020-04-02 11:24:35,NaN
2020-04-04 12:23:10,NaN
2020-04-06 13:21:45,NaN
2020-04-08 14:20:20,NaN
2020-04-10 15:18:55,NaN
2020-04-12 16:17:30,NaN
2020-04-14 17:16:05,NaN
2020-04-16 18:14:40,NaN
2020-04-18 19:13:15,NaN
2020-04-20 20:11:50,NaN
2020-04-22 21:10:25,NaN
2020-04-24 22:09:00,NaN
2020-04-26 23:07:35,NaN
2020-04-29 00:06:10,NaN
2020-05-01 01:04:45,NaN
2020-05-03 02:03:20,NaN
2020-05-05 03:01:55,NaN
2020-05-07 04:00:30,NaN
2020-05-09 04:59:05,NaN
2020-05-11 05:57:40,NaN
2020-05-13 06:56:15,NaN
2020-05-15 07:54:50,NaN
2020-05-17 08:53:25,NaN
2020-05-19 09:52:00,NaN
2020-05-21 10:50:35,NaN
2020-05-23 11:49:10,NaN
2020-05-25 12:47:45,NaN
2020-05-27 13:46:20,NaN
2020-05-29 14:44:55,NaN
2020-05-31 15:43:30,NaN
2020-06-02 16:42:05,NaN
2020-06-04 17:40:40,NaN
2020-06-06 18:39:15,NaN
2020-06-08 19:37:50,NaN
2020-06-10 20:36:25,NaN
2020-06-12 21:35:00,NaN
2020-06-14 22:33:35,NaN
2020-06-16 23:32:10,NaN
2020-06-19 00:30:45,NaN
2020-06-21 01:29:20,NaN
2020-06-23 02:27:55,NaN
2020-06-25 03:26:30,NaN
2020-06-27 04:25:05,NaN
2020-06-29 05:23:40,NaN
2020-07-01 06:22:15,NaN
2020-07-03 07:20:50,NaN
2020-07-05 08:19:25,NaN
2020-07-07 09:18:00,NaN
2020-07-09 10:16:35,NaN
2020-07-11 11:15:10,NaN
2020-07-13 12:13:45,NaN
2020-07-15 13:12:20,NaN
2020-07-17 14:10:55,NaN
2020-07-19 15:09:30,NaN
2020-07-21 16:08:05,NaN
2020-07-23 17:06:40,NaN
2020-07-25 18:05:15,NaN
2020-07-27 19:03:50,NaN
2020-07-29 20:02:25,NaN
2020-07-31 21:01:00,NaN
2020-08-02 21:59:35,NaN
2020-08-04 22:58:10,NaN
2020-08-06 23:56:45,NaN
2020-08-09 00:55:20,NaN
2020-08-11 01:53:55,NaN
2020-08-13 02:52:30,NaN
2020-08-15 03:51:05,NaN
2020-08-17 04:49:40,NaN
2020-08-19 05:48:15,NaN
2020-08-21 06:46:50,NaN
2020-08-23 07:45:25,NaN
2020-08-25 08:44:00,NaN
2020-08-27 09:42:35,NaN
2020-08-29 10:41:10,NaN
2020-08-31 11:39:45,NaN
2020-09-02 12:38:20,NaN
2020-09-04 13:36:55,NaN
2020-09-06 14:35:25,NaN
2020-09-06 14:35:30,NaN
2020-09-08 15:34:05,NaN
2020-09-10 16:32:40,NaN
2020-09-12 17:31:15,NaN
2020-09-14 18:29:50,NaN
2020-09-16 19:28:25,NaN
2020-09-18 20:27:00,NaN
2020-09-20 21:25:35,NaN
