Date,RGT_A (kW),RGT_B (kW),RGT_C (kW),RGT_S (kW),RGT_Total (kW),RGT_Total (MMSCF),Solar_A (kW),Solar_B (kW),Solar_C (kW),Solar_S (kW),Solar_A (MMSCF),Solar_B (MMSCF),Solar_C (MMSCF),Solar_S (MMSCF),Solar_Total(kW),Solar_Total(MMSCF)
01-01-2024,1.635620548,1.076976195,0.108223231,1.678717002,4.499536976,52.37922942,5.658899965,5.231558862,6.08337908,1.659034495,53.07780053,50.44815487,53.91227961,15.39752713,18.6328724,172.8357621
01-02-2024,1.555036754,1.584041291,0,1.671707827,4.810785872,53.6406043,5.736530939,5.705582292,5.669691322,0.718408759,52.71095531,50.47675447,46.5619392,6.771493791,17.83021331,156.5211428
01-03-2024,0.860851772,1.610760843,0,1.505942779,3.977555394,46.71646379,6.043817918,5.992309334,6.664014428,0,57.4200917,54.89409014,57.96204101,0.022397491,18.70014168,170.2986203
01-04-2024,0.483809078,1.643637375,0,1.483805398,3.611251851,41.76451292,6.403037044,6.410437744,7.095223193,0,57.25794764,54.76630061,58.0244839,0.022426662,19.90869798,170.0711588
01-05-2024,1.120621668,0.762913137,0.258515226,1.093704299,3.23575433,30.72161717,2.24396241,2.879308102,2.839396429,1.329222877,22.31016574,24.87909676,26.35141619,14.84663559,9.291889818,88.38731428
01-06-2024,0.586353743,0.698635129,0.564082372,0.512466911,2.361538155,28.91179691,1.774102612,4.835119613,3.687668368,4.965149058,17.08904739,42.07125701,30.30879162,43.72980123,15.26203965,133.1988973
01-07-2024,0,0.768252365,1.38359141,0.873538213,3.025381988,40.67983153,2.848349515,5.825539204,5.10516222,6.195346916,25.72597685,52.08523001,44.23378208,58.81580393,19.97439786,180.8607929
01-08-2024,0,1.52317179,1.381854426,0,2.905026216,42.08641089,0.865822896,4.788667024,5.323190595,4.649171836,8.185478408,49.10589841,49.13907869,49.41645114,15.62685235,155.8469066
01-09-2024,1.070329094,1.629088632,0.528818226,0,3.228235952,37.87324425,2.995795085,2.661591545,5.374008089,5.291624438,28.89586454,25.5188637,49.90760788,52.36821916,16.32301916,156.6905553
01-10-2024,1.603815263,1.350085751,0.431445695,0.461014413,3.846361122,46.12364937,3.216383348,6.160922426,3.448904265,6.247675277,29.47784367,54.38752882,30.17421616,56.85562621,19.07388532,170.8952149
01-11-2024,1.031885715,0.57168165,0.105871777,1.521318873,3.230758015,37.82341599,5.676399398,4.378985449,4.722866488,5.440147868,49.38536534,36.60863529,38.51892698,45.88387109,20.2183992,170.3967987
01-12-2024,1.610878152,0.053826647,0,1.577732298,3.242437097,38.89807307,5.601494534,2.491621677,5.919425781,5.799235659,49.66583639,23.23795328,50.30303082,52.98179685,19.81177765,176.1886173
